timestamp,NW_Hydro_for_CAISO
1/1/1998,0.712953
2/1/1998,0.78633
3/1/1998,0.734294
4/1/1998,0.628985
5/1/1998,0.856539
6/1/1998,0.898698
7/1/1998,0.637206
8/1/1998,0.509466
9/1/1998,0.461899
10/1/1998,0.467044
11/1/1998,0.5262
12/1/1998,0.68601
1/1/1999,0.890699
2/1/1999,0.898863
3/1/1999,0.947151
4/1/1999,0.83858
5/1/1999,0.830333
6/1/1999,0.979567
7/1/1999,0.762569
8/1/1999,0.645644
9/1/1999,0.55744
10/1/1999,0.555892
11/1/1999,0.668754
12/1/1999,0.835617
1/1/2000,0.855595
2/1/2000,0.793109
3/1/2000,0.748938
4/1/2000,0.865316
5/1/2000,0.78483
6/1/2000,0.697736
7/1/2000,0.563345
8/1/2000,0.470865
9/1/2000,0.436758
10/1/2000,0.486447
11/1/2000,0.557498
12/1/2000,0.596064
1/1/2001,0.537714
2/1/2001,0.515236
3/1/2001,0.51126
4/1/2001,0.45148
5/1/2001,0.514648
6/1/2001,0.508419
7/1/2001,0.359273
8/1/2001,0.385663
9/1/2001,0.346999
10/1/2001,0.378537
11/1/2001,0.455783
12/1/2001,0.528688
1/1/2002,0.634609
2/1/2002,0.64771
3/1/2002,0.543579
4/1/2002,0.695959
5/1/2002,0.741322
6/1/2002,0.896439
7/1/2002,0.704379
8/1/2002,0.513614
9/1/2002,0.417686
10/1/2002,0.455018
11/1/2002,0.520127
12/1/2002,0.533901
1/1/2003,0.519232
2/1/2003,0.550212
3/1/2003,0.62581
4/1/2003,0.712753
5/1/2003,0.728412
6/1/2003,0.761492
7/1/2003,0.505093
8/1/2003,0.458769
9/1/2003,0.385327
10/1/2003,0.452397
11/1/2003,0.533628
12/1/2003,0.621166
1/1/2004,0.598702
2/1/2004,0.589359
3/1/2004,0.550769
4/1/2004,0.549469
5/1/2004,0.658108
6/1/2004,0.739072
7/1/2004,0.515041
8/1/2004,0.473522
9/1/2004,0.481287
10/1/2004,0.492837
11/1/2004,0.563476
12/1/2004,0.679313
1/1/2005,0.623905
2/1/2005,0.611078
3/1/2005,0.539665
4/1/2005,0.523851
5/1/2005,0.741054
6/1/2005,0.693275
7/1/2005,0.559127
8/1/2005,0.462652
9/1/2005,0.392824
10/1/2005,0.470824
11/1/2005,0.567023
12/1/2005,0.584491
1/1/2006,0.737547
2/1/2006,0.755752
3/1/2006,0.665204
4/1/2006,0.885575
5/1/2006,0.927656
6/1/2006,0.906953
7/1/2006,0.604741
8/1/2006,0.46777
9/1/2006,0.403962
10/1/2006,0.429005
11/1/2006,0.520293
12/1/2006,0.618938
1/1/2007,0.735948
2/1/2007,0.595408
3/1/2007,0.781426
4/1/2007,0.788066
5/1/2007,0.857431
6/1/2007,0.735642
7/1/2007,0.58438
8/1/2007,0.479356
9/1/2007,0.373956
10/1/2007,0.422236
11/1/2007,0.488155
12/1/2007,0.581856
1/1/2008,0.631535
2/1/2008,0.590719
3/1/2008,0.581541
4/1/2008,0.545332
5/1/2008,0.835068
6/1/2008,0.996059
7/1/2008,0.67711
8/1/2008,0.437777
9/1/2008,0.404159
10/1/2008,0.424682
11/1/2008,0.496717
12/1/2008,0.584676
1/1/2009,0.702856
2/1/2009,0.543846
3/1/2009,0.53301
4/1/2009,0.718544
5/1/2009,0.805277
6/1/2009,0.880256
7/1/2009,0.519698
8/1/2009,0.378001
9/1/2009,0.356586
10/1/2009,0.403957
11/1/2009,0.507031
12/1/2009,0.579072
1/1/2010,0.510502
2/1/2010,0.494772
3/1/2010,0.457264
4/1/2010,0.428544
5/1/2010,0.61896
6/1/2010,0.910377
7/1/2010,0.597227
8/1/2010,0.407917
9/1/2010,0.388806
10/1/2010,0.459577
11/1/2010,0.544384
12/1/2010,0.603723
1/1/2011,0.787714
2/1/2011,0.868743
3/1/2011,0.881138
4/1/2011,0.872145
5/1/2011,0.894877
6/1/2011,0.934098
7/1/2011,0.846164
8/1/2011,0.645286
9/1/2011,0.503788
10/1/2011,0.509333
11/1/2011,0.574979
12/1/2011,0.603138
1/1/2012,0.620583
2/1/2012,0.616604
3/1/2012,0.783723
4/1/2012,0.869334
5/1/2012,0.903381
6/1/2012,0.880347
7/1/2012,0.802742
8/1/2012,0.656225
9/1/2012,0.479674
10/1/2012,0.426199
11/1/2012,0.603901
12/1/2012,0.779523
1/1/2013,0.766966
2/1/2013,0.600013
3/1/2013,0.526752
4/1/2013,0.760827
5/1/2013,0.850141
6/1/2013,0.811686
7/1/2013,0.676326
8/1/2013,0.508333
9/1/2013,0.425196
10/1/2013,0.482599
11/1/2013,0.538731
12/1/2013,0.574058
1/1/2014,0.577301
2/1/2014,0.524475
3/1/2014,0.832131
4/1/2014,0.817927
5/1/2014,0.865055
6/1/2014,0.843478
7/1/2014,0.711848
8/1/2014,0.49886
9/1/2014,0.402804
10/1/2014,0.43724
11/1/2014,0.57815
12/1/2014,0.721069
1/1/2015,0.796141
2/1/2015,0.89974
3/1/2015,0.819608
4/1/2015,0.647137
5/1/2015,0.60311
6/1/2015,0.542999
7/1/2015,0.453674
8/1/2015,0.453473
9/1/2015,0.424848
10/1/2015,0.423848
11/1/2015,0.545699
12/1/2015,0.596337
1/1/2016,0.629832
2/1/2016,0.725596
3/1/2016,0.850212
4/1/2016,0.854807
5/1/2016,0.787198
6/1/2016,0.663438
7/1/2016,0.520421
8/1/2016,0.446673
9/1/2016,0.416025
10/1/2016,0.518207
11/1/2016,0.667286
12/1/2016,0.722523
1/1/2017,0.755616
2/1/2017,0.791555
3/1/2017,0.874651
4/1/2017,0.856933
5/1/2017,0.858138
6/1/2017,0.870045
7/1/2017,0.615575
8/1/2017,0.449556
9/1/2017,0.492445
10/1/2017,0.438916
11/1/2017,0.544839
12/1/2017,0.66849
1/1/2018,0.810464
2/1/2018,0.883732
3/1/2018,0.786762
4/1/2018,0.806034
5/1/2018,0.847547
6/1/2018,0.799714
7/1/2018,0.584146
8/1/2018,0.464205
9/1/2018,0.427138
10/1/2018,0.433156
11/1/2018,0.560987
12/1/2018,0.55063
1/1/2019,0.587115
2/1/2019,0.589976
3/1/2019,0.586206
4/1/2019,0.643111
5/1/2019,0.781313
6/1/2019,0.667114
7/1/2019,0.495369
8/1/2019,0.467503
9/1/2019,0.397779
10/1/2019,0.414508
11/1/2019,0.539198
12/1/2019,0.522949
1/1/2020,0.624457
2/1/2020,0.775997
3/1/2020,0.56636
4/1/2020,0.496602
5/1/2020,0.801528
6/1/2020,0.802266
7/1/2020,0.710976
8/1/2020,0.56516
9/1/2020,0.458897
10/1/2020,0.465718
11/1/2020,0.589953
12/1/2020,0.597741
